word, meaning, partOfSpeech
unyoke, remove the yoke from, verb
chopping, cut into pieces, verb
unteach, cause to disbelieve; teach someone the contrary of what he or she had learned earlier, verb
theorize, to believe especially on uncertain or tentative grounds, verb
robbing, take something away by force or without the consent of the owner, verb
befriend, become friends with, verb
veer, turn sharply; change direction abruptly, verb
perjure, knowingly tell an untruth in a legal court and render oneself guilty of perjury, verb
anchoress, fix firmly and stably, verb
domiciliate, make one's home in a particular place or community, verb
accomplished, put in effect, verb
foxing, deceive somebody, verb
bating, moderate or restrain; lessen the force of, verb
beseeming, accord or comport with, verb
dislocate, move out of position, verb
crept, move slowly; in the case of people or animals with the body near the ground, verb
awoke, stop sleeping, verb
subvert, cause the downfall of; of rulers, verb
mythologize, construct a myth, verb
donated, give to a charity or good cause, verb
quantize, approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values, verb
abduct, take away to an undisclosed location against their will and usually in order to extract a ransom, verb
melodize, supply a melody for, verb
diverge, move or draw apart, verb
supervise, watch and direct, verb
beseech, ask for or request earnestly, verb
slashed, cut with sweeping strokes; as with an ax or machete, verb
bated, moderate or restrain; lessen the force of, verb
upraise, cause to become alive again, verb
regorge, eject the contents of the stomach through the mouth, verb
mothering, care for like a mother, verb
backfiring, come back to the originator of an action with an undesired effect, verb
striped, mark with stripes, verb
vitrify, change into glass or a glass-like substance by applying heat, verb
slewed, turn sharply; change direction abruptly, verb
effuse, pour out, verb
explicate, make plain and comprehensible, verb
puling, cry weakly or softly, verb
ruing, feel remorse for; feel sorry for; be contrite about, verb
partake, have some of the qualities or attributes of something, verb
intussuscept, introvert or invaginate, verb
complicate, make more complicated, verb
burned, destroy by fire, verb
sober, cause to become sober, verb
cloaking, hide under a false appearance, verb
cantillate, recite with musical intonation; recite as a chant or a psalm, verb
summate, determine the sum of, verb
rumple, disturb the smoothness of, verb
sprinkled, distribute loosely, verb
assured, make certain of, verb
avowed, to declare or affirm solemnly and formally as true, verb
blither, to talk foolishly, verb
aluminize, cover with aluminum, verb
overstay, stay too long, verb
ravening, obtain or seize by violence, verb
jell, become gelatinous, verb
rolled, move by turning over or rotating, verb
inflict, impose something unpleasant, verb
restock, stock again, verb
gnarled, twist into a state of deformity, verb
crucified, kill by nailing onto a cross, verb
geld, cut off the testicles (of male animals such as horses), verb
stickless, dispute or argue stubbornly (especially minor points), verb
confirmed, establish or strengthen as with new evidence or facts, verb
slept, be asleep, verb
transported, move something or somebody around; usually over long distances, verb
poring, direct one's attention on something, verb
bewildering, be a mystery or bewildering to, verb
panning, make a sweeping movement, verb
waggling, move from side to side, verb
benumbing, make numb or insensitive, verb
outrival, be more of a rival than, verb
coking, become coke, verb
overtire, tire excessively, verb
sequestrate, keep away from others, verb
importune, beg persistently and urgently, verb
latching, fasten with a latch, verb
spatted, come down like raindrops, verb
cultivated, foster the growth of, verb
walling, surround with a wall in order to fortify, verb
beget, make children, verb
liberate, give equal rights to; of women and minorities, verb
except, take exception to, verb
ensile, store in a silo, verb
embrangle, make more complicated or confused through entanglements, verb
falsify, make false by mutilation or addition; as of a message or story, verb
stood, be standing; be upright, verb
tracked, carry on the feet and deposit, verb
misbehave, behave badly, verb
bide, dwell, verb
finned, equip (a car) with fins, verb
sold, exchange or deliver for money or its equivalent, verb
vociferate, utter in a very loud voice, verb
engrossing, devote (oneself) fully to, verb
fulminating, criticize severely, verb
sank, fall or descend to a lower place or level, verb
feared, be afraid or feel anxious or apprehensive about a possible or probable situation or event, verb
spading, dig (up) with a spade, verb
suspend, hang freely, verb
anglicize, make English in appearance, verb
resublime, sublime (a compound) once again, verb
gadded, wander aimlessly in search of pleasure, verb
checkered, mark into squares or draw squares on; draw crossed lines on, verb
pule, cry weakly or softly, verb
mortifying, practice self-denial of one's body and appetites, verb
castled, move the king two squares toward a rook and in the same move the rook to the square next past the king, verb
misconceive, interpret in the wrong way, verb
flocking, move as a crowd or in a group, verb
maunder, wander aimlessly, verb
quieting, become quiet or quieter, verb
annunciate, foreshadow or presage, verb
spondaize, make spondaic, verb
stomaching, bear to eat, verb
transmigrate, be born anew in another body after death, verb
formicate, crawl about like ants, verb
deionize, remove ions from, verb
suckless, suck milk from the mother's breasts, verb
vowess, make a vow; promise, verb
festinate, act or move at high speed, verb
regain, get or find back; recover the use of, verb
domesticize, overcome the wildness of; make docile and tractable, verb
